"filename", "language", "Markdown", "C++", "XML", "comment", "blank", "total"
"d:\TLProject\Vscode\VsCode_C\Till_Language\Till_Language\Till_Language\Till_Language.vcxproj", "XML", 0, 0, 160, 0, 0, 160
"d:\TLProject\Vscode\VsCode_C\Till_Language\Till_Language\Till_Language\lexer.cpp", "C++", 0, 200, 0, 0, 14, 214
"d:\TLProject\Vscode\VsCode_C\Till_Language\Till_Language\Till_Language\lexer.h", "C++", 0, 25, 0, 34, 13, 72
"d:\TLProject\Vscode\VsCode_C\Till_Language\Till_Language\Till_Language\parser.cpp", "C++", 0, 5, 0, 0, 1, 6
"d:\TLProject\Vscode\VsCode_C\Till_Language\Till_Language\Till_Language\parser.h", "C++", 0, 21, 0, 0, 2, 23
"d:\TLProject\Vscode\VsCode_C\Till_Language\Till_Language\Till_Language\program.h", "C++", 0, 29, 0, 0, 6, 35
"d:\TLProject\Vscode\VsCode_C\Till_Language\Till_Language\Till_Language\till.cpp", "C++", 0, 50, 0, 7, 9, 66
"d:\TLProject\Vscode\VsCode_C\Till_Language\Till_Language\Till_Language\token.cpp", "C++", 0, 80, 0, 0, 11, 91
"d:\TLProject\Vscode\VsCode_C\Till_Language\Till_Language\Till_Language\token.h", "C++", 0, 54, 0, 0, 5, 59
"d:\TLProject\Vscode\VsCode_C\Till_Language\Till_Language\Till_Language\语法.md", "Markdown", 5, 0, 0, 0, 0, 5
"Total", "-", 5, 464, 160, 41, 61, 731
